example_id                                                                | status | run_time        |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:1:5]      | failed | 0.03405 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:2:1]      | failed | 0.00623 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:3:1]      | failed | 0.00536 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:2:1:1]      | failed | 0.00769 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:2:2:1]      | failed | 0.00561 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:2:1]          | passed | 0.00454 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:1:1]                  | passed | 0.01267 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:2:1]                  | passed | 0.01052 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:1:1]              | passed | 0.02113 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:1:2]              | passed | 0.01859 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:1:3]              | passed | 0.01804 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:2:1]              | passed | 0.02347 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:3:1:1]            | passed | 0.02143 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:1:3:2:1]            | passed | 0.01789 seconds |
./spec/controllers/spree/users_controller_spec.rb[1:3:2]                  | passed | 0.01594 seconds |
./spec/helpers/base_helper_spec.rb[1:1]                                   | passed | 0.06748 seconds |
./spec/helpers/order_helper_spec.rb[1:1]                                  | passed | 0.0032 seconds  |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                          | passed | 0.00742 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                             | passed | 0.02566 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                             | passed | 0.02296 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                             | passed | 0.02432 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                               | passed | 0.04578 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:1]                             | passed | 0.15138 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:2]                             | passed | 0.12803 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:3]                             | passed | 0.13253 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:4]                             | passed | 0.13397 seconds |
./spec/requests/spree/checkout_spec.rb[1:1:5]                             | passed | 0.11977 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:1]                             | passed | 0.1837 seconds  |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:1]                         | passed | 0.19289 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:2]                         | passed | 0.20848 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:3]                         | passed | 0.19526 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:1:4:1]                       | passed | 0.22164 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:2:1:1]                       | passed | 0.20234 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:2:2:1]                       | passed | 0.19568 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:2:2:2]                       | passed | 0.23513 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:3:1]                         | passed | 0.18772 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:4:1:1]                       | passed | 0.17996 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:4:2:1]                       | passed | 0.14643 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:4:3:1]                       | passed | 0.18316 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:5:1]                         | passed | 0.25434 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:5:2]                         | passed | 0.25078 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:2:5:3]                         | passed | 0.2401 seconds  |
./spec/requests/spree/checkout_spec.rb[1:2:3:1]                           | passed | 0.16666 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:3:2]                           | passed | 0.14468 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:4:1]                           | passed | 0.12786 seconds |
./spec/requests/spree/checkout_spec.rb[1:2:5:1]                           | passed | 0.23036 seconds |
